format	1
declaration	historical_module	destination_module	decision	kind	visibility	command_root	start_line
NumStability.DoolittleDenseLoopCertificate.recOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Certificates	move_candidate	definition	public	NumStability.DoolittleDenseLoopCertificate	1547
NumStability.DoolittleDenseLoopCertificate.to_DoolittleLU	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleDenseLoopCertificate.to_DoolittleLU	1909
NumStability.DoolittleDenseLoopCertificate.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleDenseLoopCertificate.to_LUBackwardError	2076
NumStability.DoolittleLU	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	inductive	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.L_computed	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	theorem	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.L_diag	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	theorem	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.L_upper_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	theorem	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.U_computed	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	theorem	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.U_lower_zero	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	theorem	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.casesOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	definition	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.mk	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	constructor	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.rec	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	recursor	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.recOn	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LinearSystems.LU.Doolittle.Basic	move_candidate	definition	public	NumStability.DoolittleLU	34
NumStability.DoolittleLU.to_LUBackwardError	NumStability.Algorithms.LU.Doolittle	NumStability.Algorithms.LU.Doolittle	retain_historical	theorem	public	NumStability.DoolittleLU.to_LUBackwardError	1989
NumStability.ErrorSource	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	inductive	public	NumStability.ErrorSource	695
NumStability.ErrorSource.IsChapterOneMainSource	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource.IsChapterOneMainSource	704
NumStability.ErrorSource.casesOn	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.chapterOneMainSource_exhaustive	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	theorem	public	NumStability.ErrorSource.chapterOneMainSource_exhaustive	708
NumStability.ErrorSource.ctorElim	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.ctorElimType	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.ctorIdx	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.dataUncertainty	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	constructor	public	NumStability.ErrorSource	695
NumStability.ErrorSource.dataUncertainty.elim	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.dataUncertainty.sizeOf_spec	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	theorem	public	NumStability.ErrorSource	695
NumStability.ErrorSource.noConfusion	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.noConfusionType	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.ofNat	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.ofNat_ctorIdx	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	theorem	public	NumStability.ErrorSource	695
NumStability.ErrorSource.rec	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	recursor	public	NumStability.ErrorSource	695
NumStability.ErrorSource.recOn	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.rounding	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	constructor	public	NumStability.ErrorSource	695
NumStability.ErrorSource.rounding.elim	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.rounding.sizeOf_spec	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	theorem	public	NumStability.ErrorSource	695
NumStability.ErrorSource.toCtorIdx	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.truncation	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	constructor	public	NumStability.ErrorSource	695
NumStability.ErrorSource.truncation.elim	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	definition	public	NumStability.ErrorSource	695
NumStability.ErrorSource.truncation.sizeOf_spec	NumStability.Analysis.Error	NumStability.Source.Higham.Chapter01.Section03.ErrorSources.Core	move_candidate	theorem	public	NumStability.ErrorSource	695
NumStability.FPModel.basicOperationPrecisionBounded	NumStability.Analysis.Error	NumStability.Analysis.Error.Measures.AccuracyPrecision	move_candidate	theorem	public	NumStability.FPModel.basicOperationPrecisionBounded	778
NumStability.FinalRoundingModel	NumStability.Algorithms.ExtendedPrecisionDotProduct	NumStability.Algorithms.ExtendedPrecisionDotProduct	canonical_in_place	definition	public	-	-
NumStability.FiniteProbability	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	inductive	public	-	-
NumStability.FiniteProbability.abs_expectationReal_le_expectationReal_abs	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.abs_expectationReal_mul_le_sqrt_mul_sqrt	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.abs_sqrt_expectationReal_sq_sub_le_sqrt_expectationReal_sub_sq	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.boolUniformProbability	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	definition	public	-	-
NumStability.FiniteProbability.boolUniformProbability_abs_sqrt_expectationReal_sq_sub_le_sqrt_expectationReal_sub_sq	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.boolUniformProbability_expectationReal	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.boolUniformProbability_prob	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	theorem	public	-	-
NumStability.FiniteProbability.casesOn	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	definition	public	-	-
NumStability.FiniteProbability.ctorIdx	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	definition	public	-	-
NumStability.FiniteProbability.entropyReal	NumStability.Analysis.FiniteProbability	NumStability.Analysis.FiniteProbability	canonical_in_place	definition	public	-	-
